Species,Area,Units,Country
AAS,27.3,TLW,DK
AAS,27,TLW,DK
AAS,27.3.a,TLW,DK
AAS,27.3.c.22,TLW,DK
ABK,27.4,TLW,DK
ABK,27,TLW,DK
ABK,27.4.b,TLW,DK
ABK,27.3,TLW,EE
ABK,27,TLW,EE
ABK,27.3.d,TLW,EE
ABK,27.3.d.28,TLW,EE
ABK,27.3.d.28.1,TLW,EE
ABK,27.3.d.29,TLW,EE
ABK,27.3.d.32,TLW,EE
ABK,27.3,TLW,LT
ABK,27,TLW,LT
ABK,27.3.d,TLW,LT
ABK,27.3.d.26,TLW,LT
ABK,27.3,TLW,LV
ABK,27,TLW,LV
ABK,27.3.d,TLW,LV
ABK,27.3.d.26,TLW,LV
ABK,27.3.d.28,TLW,LV
ABK,27.3.d.28.1,TLW,LV
ABK,27.3.d.28.2,TLW,LV
ABK,27.3.d.28_NK,TLW,LV
ABK,27.4,TLW,NL
ABK,27,TLW,NL
ABK,27.4.b,TLW,NL
ABK,27.3,TLW,PL
ABK,27,TLW,PL
ABK,27.3.d,TLW,PL
ABK,27.3.d.24,TLW,PL
ABK,27.3.d.25,TLW,PL
ABK,27.3.d.26,TLW,PL
ABK,27.3,TLW,RU
ABK,27,TLW,RU
ABK,27.3.d,TLW,RU
ABK,27.3.d.26,TLW,RU
ABK,27.3.d.32,TLW,RU
ABX,27.7,TLW,IE
ABX,27,TLW,IE
ABX,27.7.j,TLW,IE
ABX,27.7.j_NK,TLW,IE
ABX,27.7,TLW,JE
ABX,27,TLW,JE
ABX,27.7.e,TLW,JE
ABX,27.9,TLW,PT
ABX,27,TLW,PT
ABX,27.1,TLW,PT
ABX,27.10.a,TLW,PT
ABX,27.10.a.1,TLW,PT
ABX,27.10.b,TLW,PT
ABX,27.9.a,TLW,PT
ABX,27.9.b,TLW,PT
ABX,27.9.b.1,TLW,PT
ABZ,27.3,TLW,EE
ABZ,27,TLW,EE
ABZ,27.3.d,TLW,EE
ABZ,27.3.d.28,TLW,EE
ABZ,27.3.d.28.1,TLW,EE
ACC,27.3,TLW,EE
ACC,27,TLW,EE
ACC,27.3.d,TLW,EE
ACC,27.3.d.28,TLW,EE
ACC,27.3.d.28.1,TLW,EE
ACC,27.3.d.28.2,TLW,EE
ACC,27.3.d.29,TLW,EE
ACC,27.3.d.32,TLW,EE
ACC,27.3,TLW,LT
