Phylum,TARA_004_SRF_0.22-1.6,TARA_141_SRF_0.22-3,TARA_142_MES_0.22-3,TARA_142_SRF_0.22-3,TARA_145_MES_0.22-3,TARA_145_SRF_0.22-3,TARA_146_MES_0.22-3,TARA_146_SRF_0.22-3,TARA_148b_MES_0.22-3,TARA_148_SRF_0.22-3,TARA_149_MES_0.22-3,TARA_149_SRF_0.22-3,TARA_150_SRF_0.22-3,TARA_151_SRF_0.22-3,TARA_152_MES_0.22-3,TARA_152_SRF_0.22-3,TARA_066_SRF_0.22-3,TARA_067_SRF_0.22-3,TARA_068_MES_0.22-3,TARA_068_SRF_0.22-3,TARA_070_MES_0.22-3,TARA_070_SRF_0.22-3,TARA_072_MES_0.22-3,TARA_072_SRF_0.22-3,TARA_076_MES_0.22-3,TARA_076_SRF_0.22-3,TARA_078_MES_0.22-3,TARA_078_SRF_0.22-3,TARA_082_SRF_0.22-3
Proteobacteria,982,567,141,905,96,197,108,1020,228,906,137,753,820,489,112,509,380,15,91,228,54,259,263,456,84,430,99,456,2
Cyanobacteria,1521,79,1,499,0,1,0,120,0,222,1,122,1629,1161,1,751,70,0,3,1024,3,647,419,752,8,723,84,1171,0
Proteobacteria,682,254,204,515,101,866,185,1089,355,848,206,1085,1093,829,166,1461,1067,113,187,398,70,149,105,116,90,118,88,219,13
Cyanobacteria,2213,0,1,19,0,0,0,18,0,20,0,100,2118,1552,0,977,68,0,4,1211,2,392,57,82,1,156,55,632,0
Cyanobacteria,338,151,13,587,16,72,17,254,31,313,24,205,502,334,15,169,66,1,32,216,13,183,380,775,19,570,87,626,0
Proteobacteria,563,100,1,497,0,19,0,78,1,194,0,75,475,354,0,203,38,2,0,215,3,127,386,737,4,670,64,665,1
Proteobacteria,417,313,46,350,83,319,39,364,88,363,72,448,586,622,56,360,379,71,96,166,20,105,130,245,30,219,75,316,186
Cyanobacteria,380,76,2,456,2,0,0,77,1,180,1,60,431,267,0,132,17,0,0,213,0,133,343,670,2,534,58,559,0
Proteobacteria,253,306,28,408,32,216,34,411,96,451,51,434,544,501,46,254,274,42,51,146,13,118,128,321,26,256,76,313,23
Proteobacteria,298,241,35,323,36,302,32,418,90,348,45,375,461,519,47,313,328,64,54,159,42,104,133,275,19,224,74,308,29
Proteobacteria,1149,251,0,138,2,61,0,112,6,149,0,97,276,369,0,245,104,21,0,36,5,37,116,279,2,190,26,322,0
Proteobacteria,365,292,65,344,60,284,57,354,124,420,87,322,460,616,73,292,294,68,107,150,20,95,123,251,53,208,78,299,156
Proteobacteria,228,241,42,475,41,179,42,500,113,543,70,493,564,442,51,188,178,29,79,162,17,110,158,374,30,169,65,277,50
Thaumarchaeota,11,20,9,214,425,646,236,3005,1037,1275,224,1301,343,63,103,649,192,25,375,484,4,17,37,0,32,0,141,6,0
Proteobacteria,344,204,30,227,52,239,29,267,37,243,40,336,500,545,35,342,310,62,82,123,16,78,71,173,39,110,58,225,379
Deferribacteres,229,104,0,105,2,93,0,192,29,272,0,430,384,260,1,334,230,77,0,138,4,225,53,106,1,105,12,141,0
