Species,Country
Noble crayfish, Denmark
Noble crayfish, Denmark
Noble crayfish, Denmark
Noble crayfish, Denmark
White bream, Denmark
White bream, Denmark
White bream, Denmark
White bream, Estonia
White bream, Estonia
White bream, Estonia
White bream, Estonia
White bream, Estonia
White bream, Estonia
White bream, Estonia
White bream, Lithuania
White bream, Lithuania
White bream, Lithuania
White bream, Lithuania
White bream, Latvia
White bream, Latvia
White bream, Latvia
White bream, Latvia
White bream, Latvia
White bream, Latvia
White bream, Latvia
White bream, Latvia
White bream, Netherlands
White bream, Netherlands
White bream, Netherlands
White bream, Poland
White bream, Poland
White bream, Poland
White bream, Poland
White bream, Poland
White bream, Poland
White bream, Russian Federation
White bream, Russian Federation
White bream, Russian Federation
White bream, Russian Federation
White bream, Russian Federation
Abalones nei, Ireland
Abalones nei, Ireland
Abalones nei, Ireland
Abalones nei, Ireland
Abalones nei, Jersey
Abalones nei, Jersey
Abalones nei, Jersey
Abalones nei, Portugal
Abalones nei, Portugal
Abalones nei, Portugal
Abalones nei, Portugal
Abalones nei, Portugal
Abalones nei, Portugal
Abalones nei, Portugal
Abalones nei, Portugal
Abalones nei, Portugal
Small sandeel, Estonia
Small sandeel, Estonia
Small sandeel, Estonia
Small sandeel, Estonia
Small sandeel, Estonia
Ruffe, Estonia
Ruffe, Estonia
Ruffe, Estonia
Ruffe, Estonia
Ruffe, Estonia
Ruffe, Estonia
Ruffe, Estonia
Ruffe, Estonia
Ruffe, Lithuania
Ruffe, Lithuania
Ruffe, Lithuania
Ruffe, Lithuania
Ruffe, Latvia
Ruffe, Latvia
Ruffe, Latvia
Ruffe, Latvia
Ruffe, Latvia
Ruffe, Latvia
Ruffe, Poland
Ruffe, Poland
Ruffe, Poland
Ruffe, Poland
Ruffe, Poland
Ruffe, Poland
Ruffe, Russian Federation
Ruffe, Russian Federation
Ruffe, Russian Federation
Ruffe, Russian Federation
Ruffe, Russian Federation
Ruffe, Sweden
Ruffe, Sweden
Ruffe, Sweden
Ruffe, Sweden
Arctic char, Norway
Arctic char, Norway
Arctic char, Norway
Arctic char, Norway
Arctic char, Norway
Aesop shrimp, Germany
Aesop shrimp, Germany
Aesop shrimp, Germany
Aesop shrimp, Spain
Aesop shrimp, Spain
Aesop shrimp, Spain
Aesop shrimp, United Kingdom (E+W+S+NI)
Aesop shrimp, United Kingdom (E+W+S+NI)
Aesop shrimp, United Kingdom (E+W+S+NI)
Aesop shrimp, United Kingdom (E+W+S+NI)
Aesop shrimp, United Kingdom (E+W+S+NI)
Aesop shrimp, United Kingdom (E+W+S+NI)
Aesop shrimp, Greenland
Aesop shrimp, Greenland
Aesop shrimp, Greenland
Aesop shrimp, Netherlands
Aesop shrimp, Netherlands
Aesop shrimp, Netherlands
Aesop shrimp, Netherlands
Sharktooth moray, Portugal
Sharktooth moray, Portugal
Sharktooth moray, Portugal
Brown moray, Portugal
Brown moray, Portugal
Brown moray, Portugal
Brown moray, Portugal
Brown moray, Portugal
Brown moray, Portugal
Angelshark, Estonia
Angelshark, Estonia
Angelshark, Estonia
Angelshark, Estonia
Angelshark, Spain
Angelshark, Spain
Angelshark, Spain
Angelshark, Spain
Angelshark, Spain
Angelshark, Spain
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, France
Angelshark, United Kingdom (E+W+S+NI)
Angelshark, United Kingdom (E+W+S+NI)
Angelshark, United Kingdom (E+W+S+NI)
Angelshark, United Kingdom (E+W+S+NI)
Angelshark, United Kingdom (E+W+S+NI)
Angelshark, United Kingdom (E+W+S+NI)
Angelshark, United Kingdom (E+W+S+NI)
Angelshark, United Kingdom (E+W+S+NI)
Angelshark, United Kingdom (E+W+S+NI)
Angelshark, United Kingdom (E+W+S+NI)
Angelshark, United Kingdom (E+W+S+NI)
Angelshark, United Kingdom (E+W+S+NI)
Angelshark, United Kingdom (E+W+S+NI)
Angelshark, United Kingdom (E+W+S+NI)
Angelshark, United Kingdom (E+W+S+NI)
Swallowtail seaperch, Portugal
Swallowtail seaperch, Portugal
Swallowtail seaperch, Portugal
Swallowtail seaperch, Portugal
Swallowtail seaperch, Portugal
Swallowtail seaperch, Portugal
Swallowtail seaperch, Portugal
Swallowtail seaperch, Portugal
Swallowtail seaperch, Portugal
European prickly cockle, Spain
European prickly cockle, Spain
European prickly cockle, Spain
Scale-rayed wrasse, Portugal
Scale-rayed wrasse, Portugal
Scale-rayed wrasse, Portugal
Scale-rayed wrasse, Portugal
Albacore, China (including Hong Kong)
Albacore, China (including Hong Kong)
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, Spain
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, France
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, United Kingdom (E+W+S+NI)
Albacore, Ireland
Albacore, Ireland
Albacore, Ireland
Albacore, Ireland
Albacore, Ireland
Albacore, Ireland
Albacore, Ireland
Albacore, Ireland
Albacore, Ireland
